shot,points,year
2 Pointer,4.5,2009-2010
3 Pointer,2.1,2009-2010
Free Throw,2.2,2009-2010
2 Pointer,4.8,2010-2011
3 Pointer,2,2010-2011
Free Throw,2.9,2010-2011
2 Pointer,3.5,2011-2012
3 Pointer,2.1,2011-2012
Free Throw,1.5,2011-2012
2 Pointer,4.5,2012-2013
3 Pointer,3.5,2012-2013
Free Throw,3.4,2012-2013
2 Pointer,5,2013-2014
3 Pointer,3.3,2013-2014
Free Throw,3.9,2013-2014
2 Pointer,4.6,2014-2015
3 Pointer,3.6,2014-2015
Free Throw,3.9,2014-2015
2 Pointer,5.1,2015-2016
3 Pointer,5.1,2015-2016
Free Throw,4.6,2015-2016
2 Pointer,4.4,2016-2017
3 Pointer,4.1,2016-2017
Free Throw,4.1,2016-2017
